OrganizationType,District,OrganizationCode,OrganizationName,Street,City,State,ZIP,Phone,Fax,Website,EdProgram,ProgramType,InterDistrictMagnet,PreKindergarten,Kindergarten,Grade01,Grade02,Grade03,Grade04,Grade05,Grade06,Grade07,Grade08,Grade09,Grade10,Grade11,Grade12,SchoolCT,longitude,latitude
Public Schools,Bolton School District,126111,Bolton High School,72 Brandy St.,Bolton,CT,06043-7697,860-643-2768,NA,www.boltonpublicschools.com,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Bolton High School, Bolton, CT",-72.4216536,41.7604488
Public Charter Schools,Bridgeport Achievement First District,2850113,Achievement First Bridgeport Academy,655 Stillman St.,Bridgeport,CT,06608-1331,203-338-0593,203-338-0714,www.achievementfirst.org/schools/connecticut-schools/achievement-first-bridgeport-academy-elementary-school/about/,NA,NA,NA,0,1,1,1,1,1,1,1,1,1,1,1,1,1,"Achievement First Bridgeport Academy, Bridgeport, CT",-73.1848355,41.1889243
Public Schools,Bridgeport School District,151611,Bridgeport Military Academy,160 Iranistan Avenue,Bridgeport,CT,6605,203-275-3961,NA,www.bridgeportmilitaryacademy.org/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Bridgeport Military Academy, Bridgeport, CT",-73.1957338,41.1638784
Regional Education Service Center Schools,Capitol Region Education Council,2416114,Metropolitan Learning Center for Global and International Studies,1551 Blue Hills Ave.,Bloomfield,CT,6002,860-242-7834,NA,www.crec.org/schools/magnet.php,NA,NA,Yes,0,0,0,0,0,0,0,1,1,1,1,1,1,1,"Metropolitan Learning Center for Global and International Studies, Bloomfield, CT",-72.7266739,41.8707894
Public Schools,Clinton School District,276111,The Morgan School,71 Killingworth Tpke.,Clinton,CT,06413-1399,860-664-6504,860-664-6548,https://sites.google.com/a/clintonpublic.net/morgan/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"The Morgan School, Clinton, CT",-72.5325564,41.3003244
CT Technical Education and Career Schools,Connecticut Technical Education and Career System,9001516,A. I. Prince Technical High School,401 Flatbush Ave.,Hartford,CT,6106,860-951-7112,NA,www.cttech.org/PRINCE/index.htm,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"A. I. Prince Technical High School, Hartford, CT",-72.7057918,41.7416983
CT Technical Education and Career Schools,Connecticut Technical Education and Career System,9001116,Bullard-Havens Technical High School,500 Palisade Ave.,Bridgeport,CT,06610-3458,203-579-6333,NA,www.cttech.org/bullard-havens/index.htm,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Bullard-Havens Technical High School, Bridgeport, CT",-73.1634847,41.2005807
CT Technical Education and Career Schools,Connecticut Technical Education and Career System,9001716,H. C. Wilcox Technical High School,298 Oregon Rd.,Meriden,CT,6450,203-238-6260,NA,www.cttech.org/WILCOX/index.htm,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"H. C. Wilcox Technical High School, Meriden, CT",-72.83092,41.5291331
CT Technical Education and Career Schools,Connecticut Technical Education and Career System,9001616,Howell Cheney Technical High School,791 West Middle Tpke.,Manchester,CT,6040,860-649-5396,NA,www.cttech.org/CHENEY/index.htm,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Howell Cheney Technical High School, Manchester, CT",-72.5615473,41.781937
CT Technical Education and Career Schools,Connecticut Technical Education and Career System,9002416,Windham Technical High School,210 Birch St.,Willimantic,CT,06226-2108,860-456-3879,NA,www.cttech.org/WINDHAM/index.htm,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Windham Technical High School, Willimantic, CT",-72.2203153,41.7198896
Public Schools,East Hartford School District,436311,Connecticut IB Academy,857 Forbes St.,East Hartford,CT,6118,860-622-5590,NA,NA,NA,NA,Yes,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Connecticut IB Academy, East Hartford, CT",-72.6061475,41.7542869
Regional Education Service Center Schools,Eastern Connecticut Regional Educational Service Center (EASTCONN),2536014,Arts at the Capitol Theater Magnet School (ACT),896 Main Street,Willimantic,CT,6226,860-465-5636,860-465-8115,NA,NA,NA,Yes,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Arts at the Capitol Theater Magnet School (ACT), Willimantic, CT",-72.2161144,41.7122098
Regional Education Service Center Schools,Eastern Connecticut Regional Educational Service Center (EASTCONN),2536114,Quinebaug Middle College,742 Upper Maple St.,Danielson,CT,6239,860-932-4100,860-932-4950,NA,NA,NA,Yes,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Quinebaug Middle College, Danielson, CT",-71.889948,41.825226
Public Schools,Farmington School District,526111,Farmington High School,10 Monteith Dr,Farmington,CT,06032-1052,860-673-2514,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Farmington High School, Farmington, CT",-72.8683481,41.7510611
Public Schools,Griswold School District,580111,Griswold Alternative School,1553 Glasgo Road,Griswold,CT,6351,860-376-9129,860-376-9122,griswoldpublicschools.org,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Griswold Alternative School, Griswold, CT",-71.8977107,41.5777321
Public Schools,Hartford School District,645411,Hartford Magnet Trinity College Academy,53 Vernon Street,Hartford,CT,6103,860-757-6201,860-947-9935,NA,NA,NA,Yes,0,0,0,0,0,0,0,1,1,1,1,1,1,1,"Hartford Magnet Trinity College Academy, Hartford, CT",-72.6867744,41.7502171
Public Schools,Meriden School District,806111,Francis T. Maloney High School,121 Gravel St.,Meriden,CT,06450-4611,203-238-2334,NA,www.meriden.k12.ct.us/maloney/Maloney_WEB/index.htm,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Francis T. Maloney High School, Meriden, CT",-72.7728953,41.5318068
Public Schools,Milford School District,846211,Jonathan Law High School,20 Lansdale Ave.,Milford,CT,06460-5199,203-783-3574,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Jonathan Law High School, Milford, CT",-73.0888519,41.203944
Public Schools,New Haven School District,936611,High School In The Community,175 Water St.,New Haven,CT,6511,475-220-6200,203-946-7132,www.nhps.net,NA,NA,Yes,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"High School In The Community, New Haven, CT",-72.9222607,41.301877
Public Schools,New Haven School District,936311,Hill Regional Career High School,140 Legion Ave.,New Haven,CT,6519,475-220-5000,203-946-5949,www.nhps.net,NA,NA,Yes,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Hill Regional Career High School, New Haven, CT",-72.9407046,41.3056536
Public Schools,New Milford School District,966111,New Milford High School,388 Danbury Rd.,New Milford,CT,6776,860-350-6647,NA,www.newmilfordps.org/nhs/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"New Milford High School, New Milford, CT",-73.4247323,41.5270263
Endowed and Incorporated Academies Schools,Norwich Free Academy District,9016122,Norwich Free Academy,305 Broadway,Norwich,CT,6360,860-887-2505,860-889-6196,www.nfaschool.org,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Norwich Free Academy, Norwich, CT",-72.082522,41.536985
Public Schools,Plainfield School District,1096111,Plainfield High School,"105 Putnam Road, P.O. Box 218",Central Village,CT,6332,860-564-6417,NA,www.plainfieldschools.org/page.cfm?p2502,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Plainfield High School, Central Village, CT",-71.9063661,41.7276524
Public Schools,Portland School District,1136111,Portland High School,95 High Street,Portland,CT,6480,860-342-1720,NA,www.portlandctschools.org,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Portland High School, Portland, CT",-72.6226304,41.5807761
Regional Schools,Regional School District 12,2120312,Shepaug Valley School,159 South Street,Washington,CT,06793-0000,860-868-7326,NA,svs.region-12.org,NA,NA,NA,0,0,0,0,0,0,0,1,1,1,1,1,1,1,"Shepaug Valley School, Washington, CT",-73.3059186,41.6017389
Public Schools,Stonington School District,1376111,Stonington High School,176 South Broad St.,Pawcatuck,CT,06379-1924,860-599-5781,NA,stoningtonhigh.org/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Stonington High School, Pawcatuck, CT",-71.8605895,41.3665767
Public Schools,Stratford School District,1386211,Bunnell High School,1 Bulldog Blvd.,Stratford,CT,06614-2333,203-385-4250,NA,bunnellhigh.stratfordk12.org/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Bunnell High School, Stratford, CT",-73.1392684,41.2248721
Public Schools,Thomaston School District,1406211,Thomaston High School,185 Branch Rd.,Thomaston,CT,06787-1984,860-283-3030,NA,www.thomastonschools.org,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Thomaston High School, Thomaston, CT",-73.0958473,41.6583116
Public Schools,West Haven School District,1566111,West Haven High School,One McDonough Plaza,West Haven,CT,06516-5299,203-937-4360,203-937-4370,www.whschools.org,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"West Haven High School, West Haven, CT",-72.9586057,41.2594427
Endowed and Incorporated Academies Schools,Woodstock Academy District,9036122,Woodstock Academy,57 Academy Rd.,Woodstock,CT,6281,860-928-6575,NA,www.woodstockacademy.org,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Woodstock Academy, Woodstock, CT",-71.975534,41.951017
